Client,Project,Sample_Number,Client_Sample_ID,Source,lake.name,NWIS_Station_ID,Date_Sampled,Sample_Type,Collection_Method,Temp,Stage,Record_Number,Sample_Depth,Acid Neutralizing Capacity,Air-equilibrated pH,NH4+,Calcium,Chloride,Chlorophyll a,Dissolved Inorganic Carbon,Dissolved Organic Carbon,Filtered Aluminum,Filtered Calcium,Filtered Iron,Filtered Magnesium,Filtered Potassium,Filtered Silicon,Filtered Sodium,Magnesium,Nitrate,Organic Monomeric Aluminum,pH,Potassium,Silicon,Sodium,Specific Conductance,Sulfate,Total Aluminum,Total Monomeric Aluminum,UV254
USGS Watersheds Group,ALTM,106496-01,64752,20058,Little Hope Pond,4272644,7/19/2018 9:15,Triplicate,Kemmerer,22.6,,1802380,0.5,62.03945923,6.24454546,0.991999984,35.04191589,6.721700191,,99.51235199,1084.136841,6.091259003,,,,,,,14.43487263,0,1.889999986,5.903355598,13.78670311,46.54942322,23.40834618,13.59000015,3.692300081,6.823912621,2.529999971,0.532000005
USGS Watersheds Group,ALTM,106496-02,64753,20058,Little Hope Pond,4272644,7/19/2018 9:18,Triplicate,Kemmerer,22.6,,1802381,0.5,45.73727798,6.269504547,0.834999979,36.70046997,6.496099949,,97.75556946,1096.32605,26.40033722,,,,,,,14.54560757,0,1.799999952,5.910311699,13.92941856,46.5976944,23.35597992,13.64999962,3.500799894,7.633727551,2.529999971,0.531000018
USGS Watersheds Group,ALTM,106496-03,64754,20058,Little Hope Pond,4272644,7/19/2018 9:21,Triplicate,Kemmerer,22.6,,1802382,0.5,54.46745682,6.306984425,1.370000005,34.95129395,6.446100235,,105.6153107,1127.52356,10.47276497,,,,,,,14.36480045,0,1.899999976,5.886565685,13.58002949,46.30239487,23.28261757,13.18999958,3.031699896,5.705548763,2.75,0.521000028
USGS Watersheds Group,ALTM,106904-01,66171,20058,Little Hope Pond,4272644,7/8/2019 10:35,Triplicate,Kemmerer,23,,1901851,0.5,48.46169281,6.253955841,0.402999997,35.00220108,6.174699783,,129.7523804,1043.181152,6.352029324,,,,,,,14.76071644,0,3.279999971,5.748990536,8.798326492,54.00003433,23.35851097,14.19999981,8.161499977,7.222969055,3.619999886,0.555000007
USGS Watersheds Group,ALTM,106904-02,66192,20058,Little Hope Pond,4272644,7/8/2019 10:38,Triplicate,Kemmerer,23,,1901852,0.5,51.10526276,6.298291683,1.179999948,36.58460236,6.055799961,,141.325531,1035.321411,6.263807297,,,,,,,14.85438442,0,2.809999943,5.816937447,8.669415474,53.74543762,23.76259232,14.06000042,8.240599632,6.868915558,3.140000105,0.556999981
USGS Watersheds Group,ALTM,106904-03,66213,20058,Little Hope Pond,4272644,7/8/2019 10:41,Triplicate,Kemmerer,23,,1901853,0.5,30.44280052,6.505446434,0.635999978,35.35866547,5.899700165,,125.0814972,1022.77417,6.468296528,,,,,,,14.55437183,0,2.690000057,5.803425789,8.560964584,52.86725616,22.18884277,14.23999977,8.178799629,6.448932648,3,0.551999986
USGS Watersheds Group,ALTM,106140-01,63430,20059,Big Hope Pond,4272643,10/5/2017 8:10,Regular,Kemmerer,15.9,,,0.5,57.36563492,6.641495228,1.019999981,43.60811234,18.10099983,4.519999981,91.03648376,863.1813965,4.451733589,,,,,,,19.74644852,0,0.757000029,6.183341026,7.631527901,22.60510826,36.30580521,15.35000038,8.701000214,4.69329834,1.210000038,0.402999997
USGS Watersheds Group,ALTM,106194-01,63681,20059,Big Hope Pond,4272643,11/13/2017 9:27,Regular,Kemmerer,5.2,,,0.5,64.7021637,6.641348839,2.670000076,49.4554863,16.85989952,2.50999999,186.5273743,776.6825562,5.74270153,,,,,,,21.05459404,0.228599995,1.559999943,6.010821342,9.991012573,42.07693481,36.52417755,16.94000053,13.17940044,6.110635281,2.140000105,0.388999999
USGS Watersheds Group,ALTM,106221-01,63809,20059,Big Hope Pond,4272643,12/7/2017 9:44,Regular,Manual,1.7,,,0,51.50201797,6.661711693,1.960000038,46.27020645,17.2446003,6.090000153,143.1655731,749.5481567,7.539761066,,,,,,,20.25842285,0.74000001,1.5,6.231515408,8.880252838,40.23659515,35.09748077,16.39999962,13.40579987,4.960333347,1.460000038,0.361999989
USGS Watersheds Group,ALTM,106299-01,63946,20059,Big Hope Pond,4272643,2/7/2018 9:37,Regular,Kemmerer,0.3,,,0.5,47.4621315,6.63772583,4.949999809,48.7959938,18.43659973,0.340000004,174.3714142,780.9871216,11.06706715,,,,,,,20.62751198,1.853000045,1.340000033,6.184828281,8.781617165,42.36103439,36.97909927,17.11000061,15.35229969,5.500853062,2.430000067,0.375
