lake.name,month,year,monthly.average
ARBUTUS LAKE,Jun,1992,6.219
ARBUTUS LAKE,Jul,1992,6.983
ARBUTUS LAKE,Aug,1992,5.73
ARBUTUS LAKE,Sep,1992,5.769666667
ARBUTUS LAKE,Oct,1992,5.147
ARBUTUS LAKE,Nov,1992,5.043
ARBUTUS LAKE,Dec,1992,4.558
ARBUTUS LAKE,Jan,1993,5.131
ARBUTUS LAKE,Feb,1993,4.944
ARBUTUS LAKE,Mar,1993,4.293
ARBUTUS LAKE,Apr,1993,4.515
ARBUTUS LAKE,May,1993,4.291
ARBUTUS LAKE,Jun,1993,4.053
ARBUTUS LAKE,Jul,1993,4.009
ARBUTUS LAKE,Aug,1993,4.585
ARBUTUS LAKE,Sep,1993,3.778
ARBUTUS LAKE,Oct,1993,3.653
ARBUTUS LAKE,Nov,1993,3.744
ARBUTUS LAKE,Dec,1993,4.398
ARBUTUS LAKE,Jan,1994,3.848
ARBUTUS LAKE,Feb,1994,4.209
ARBUTUS LAKE,Mar,1994,4.527
ARBUTUS LAKE,Apr,1994,4.724
ARBUTUS LAKE,May,1994,4.69
ARBUTUS LAKE,Jun,1994,4.63
ARBUTUS LAKE,Jul,1994,5.087
ARBUTUS LAKE,Aug,1994,5.117
ARBUTUS LAKE,Sep,1994,4.858
ARBUTUS LAKE,Oct,1994,4.244
ARBUTUS LAKE,Nov,1994,4.25
ARBUTUS LAKE,Dec,1994,5.028
ARBUTUS LAKE,Jan,1995,3.799
ARBUTUS LAKE,Feb,1995,4.859
ARBUTUS LAKE,Mar,1995,4.857
ARBUTUS LAKE,Apr,1995,4.044
ARBUTUS LAKE,May,1995,3.201
ARBUTUS LAKE,Jun,1995,3.445
ARBUTUS LAKE,Jul,1995,3.869
ARBUTUS LAKE,Aug,1995,4.229
ARBUTUS LAKE,Sep,1995,4.109
ARBUTUS LAKE,Oct,1995,3.662333333
ARBUTUS LAKE,Nov,1995,5.625
ARBUTUS LAKE,Dec,1995,6.169666667
ARBUTUS LAKE,Jan,1996,5.494
ARBUTUS LAKE,Feb,1996,6.547
ARBUTUS LAKE,Mar,1996,5.257
ARBUTUS LAKE,Apr,1996,4.376
ARBUTUS LAKE,May,1996,5.081
ARBUTUS LAKE,Jun,1996,4.758
ARBUTUS LAKE,Jul,1996,4.942333333
ARBUTUS LAKE,Aug,1996,5.462
ARBUTUS LAKE,Sep,1996,4.879
ARBUTUS LAKE,Oct,1996,4.413
ARBUTUS LAKE,Nov,1996,4.645333333
ARBUTUS LAKE,Dec,1996,6.874
ARBUTUS LAKE,Jan,1997,5.849
ARBUTUS LAKE,Feb,1997,6.576
ARBUTUS LAKE,Mar,1997,6.092
