"","lake.name","DOC.mg.L.1","Year"
"1","LITTLE HOPE POND",12.695,1992
"2","LITTLE HOPE POND",12.778,1992
"3","LITTLE HOPE POND",12.442,1992
"4","LITTLE HOPE POND",11.884,1992
"5","LITTLE HOPE POND",11.926,1992
"6","LITTLE HOPE POND",12.142,1992
"7","LITTLE HOPE POND",11.939,1992
"8","LITTLE HOPE POND",12.807,1992
"9","LITTLE HOPE POND",13.419,1992
"10","LITTLE HOPE POND",14.46,1993
"11","LITTLE HOPE POND",14.484,1993
"12","LITTLE HOPE POND",13.943,1993
"13","LITTLE HOPE POND",12.876,1993
"14","LITTLE HOPE POND",10.614,1993
"15","LITTLE HOPE POND",10.676,1993
"16","LITTLE HOPE POND",10.844,1993
"17","LITTLE HOPE POND",9.1,1993
"18","LITTLE HOPE POND",10.561,1993
"19","LITTLE HOPE POND",12.157,1993
"20","LITTLE HOPE POND",13.651,1993
"21","LITTLE HOPE POND",12.7,1993
"22","LITTLE HOPE POND",14.118,1994
"23","LITTLE HOPE POND",16.55,1994
"24","LITTLE HOPE POND",15.808,1994
"25","LITTLE HOPE POND",12.403,1994
"26","LITTLE HOPE POND",12.198,1994
"27","LITTLE HOPE POND",11.614,1994
"28","LITTLE HOPE POND",11.792,1994
"29","LITTLE HOPE POND",12.801,1994
"30","LITTLE HOPE POND",15.519,1994
"31","LITTLE HOPE POND",12.414,1994
"32","LITTLE HOPE POND",12.237,1994
"33","LITTLE HOPE POND",12.267,1994
"34","LITTLE HOPE POND",11.676,1994
"35","LITTLE HOPE POND",14.2,1994
"36","LITTLE HOPE POND",14.548,1995
"37","LITTLE HOPE POND",13.638,1995
"38","LITTLE HOPE POND",14.225,1995
"39","LITTLE HOPE POND",12.312,1995
"40","LITTLE HOPE POND",10.045,1995
"41","LITTLE HOPE POND",9.943,1995
"42","LITTLE HOPE POND",9.687,1995
"43","LITTLE HOPE POND",10.015,1995
"44","LITTLE HOPE POND",12.579,1995
"45","LITTLE HOPE POND",10.574,1995
"46","LITTLE HOPE POND",13.19,1995
"47","LITTLE HOPE POND",NA,1995
"48","LITTLE HOPE POND",12.949,1996
"49","LITTLE HOPE POND",14.278,1996
"50","LITTLE HOPE POND",13.728,1996
"51","LITTLE HOPE POND",11.121,1996
"52","LITTLE HOPE POND",11.711,1996
"53","LITTLE HOPE POND",13.183,1996
"54","LITTLE HOPE POND",13.413,1996
"55","LITTLE HOPE POND",12.454,1996
"56","LITTLE HOPE POND",11.167,1996
"57","LITTLE HOPE POND",12.533,1996
"58","LITTLE HOPE POND",16.037,1996
"59","LITTLE HOPE POND",17.148,1996
"60","LITTLE HOPE POND",15.437,1997
"61","LITTLE HOPE POND",15.299,1997
"62","LITTLE HOPE POND",15.585,1997
"63","LITTLE HOPE POND",15.585,1997
"64","LITTLE HOPE POND",13.389,1997
"65","LITTLE HOPE POND",11.436,1997
"66","LITTLE HOPE POND",12.35,1997
"67","LITTLE HOPE POND",11.652,1997
"68","LITTLE HOPE POND",11.323,1997
"69","LITTLE HOPE POND",11.809,1997
"70","LITTLE HOPE POND",12.138,1997
"71","LITTLE HOPE POND",11.279,1997
"72","LITTLE HOPE POND",11.84,1997
"73","LITTLE HOPE POND",12.992,1997
"74","LITTLE HOPE POND",14.448,1998
"75","LITTLE HOPE POND",14.585,1998
"76","LITTLE HOPE POND",14.742,1998
"77","LITTLE HOPE POND",14.785,1998
"78","LITTLE HOPE POND",12.529,1998
"79","LITTLE HOPE POND",13.101,1998
"80","LITTLE HOPE POND",11.334,1998
"81","LITTLE HOPE POND",11.074,1998
"82","LITTLE HOPE POND",11.151,1998
"83","LITTLE HOPE POND",11.797,1998
"84","LITTLE HOPE POND",11.973,1998
"85","LITTLE HOPE POND",11.934,1998
"86","LITTLE HOPE POND",19.205,1998
"87","LITTLE HOPE POND",17.381,1998
"88","LITTLE HOPE POND",15.606,1998
"89","LITTLE HOPE POND",14.681,1998
"90","LITTLE HOPE POND",12.204,1998
"91","LITTLE HOPE POND",12.346,1998
"92","LITTLE HOPE POND",13.434,1999
"93","LITTLE HOPE POND",12.831,1999
"94","LITTLE HOPE POND",13.508,1999
"95","LITTLE HOPE POND",10.274,1999
"96","LITTLE HOPE POND",10.65,1999
"97","LITTLE HOPE POND",9.84,1999
"98","LITTLE HOPE POND",10.129,1999
"99","LITTLE HOPE POND",12.552,1999
"100","LITTLE HOPE POND",10.379,1999
"101","LITTLE HOPE POND",12.605,1999
"102","LITTLE HOPE POND",13.254,1999
"103","LITTLE HOPE POND",13.469,1999
"104","LITTLE HOPE POND",14.259,2000
"105","LITTLE HOPE POND",13.904,2000
"106","LITTLE HOPE POND",12.319,2000
"107","LITTLE HOPE POND",11.141,2000
"108","LITTLE HOPE POND",10.202,2000
"109","LITTLE HOPE POND",13.708,2000
"110","LITTLE HOPE POND",13.702,2000
"111","LITTLE HOPE POND",12.253,2000
"112","LITTLE HOPE POND",12.651,2000
"113","LITTLE HOPE POND",10.023,2000
"114","LITTLE HOPE POND",8.892,2000
"115","LITTLE HOPE POND",10.517,2000
"116","LITTLE HOPE POND",10.072,2001
"117","LITTLE HOPE POND",9.746,2001
"118","LITTLE HOPE POND",9.811,2001
"119","LITTLE HOPE POND",10.862,2001
"120","LITTLE HOPE POND",9.186,2001
"121","LITTLE HOPE POND",10.431,2001
"122","LITTLE HOPE POND",10.542,2001
"123","LITTLE HOPE POND",10.187,2001
"124","LITTLE HOPE POND",9.588,2001
"125","LITTLE HOPE POND",8.997,2001
"126","LITTLE HOPE POND",9.784,2001
"127","LITTLE HOPE POND",9.442,2001
"128","LITTLE HOPE POND",8.777,2002
"129","LITTLE HOPE POND",9.461,2002
"130","LITTLE HOPE POND",9.959,2002
"131","LITTLE HOPE POND",11.555,2002
"132","LITTLE HOPE POND",10.782,2002
"133","LITTLE HOPE POND",12.001,2002
"134","LITTLE HOPE POND",15.367,2002
"135","LITTLE HOPE POND",14.094,2002
"136","LITTLE HOPE POND",11.025,2002
"137","LITTLE HOPE POND",11.468,2002
"138","LITTLE HOPE POND",11.311,2002
"139","LITTLE HOPE POND",12.006,2002
"140","LITTLE HOPE POND",11.865,2003
"141","LITTLE HOPE POND",11.982,2003
"142","LITTLE HOPE POND",14.621,2003
"143","LITTLE HOPE POND",14.127,2003
"144","LITTLE HOPE POND",10.828,2003
"145","LITTLE HOPE POND",11.322,2003
"146","LITTLE HOPE POND",10.68,2003
"147","LITTLE HOPE POND",11.367,2003
"148","LITTLE HOPE POND",12.4,2003
"149","LITTLE HOPE POND",12.213,2003
"150","LITTLE HOPE POND",13.729,2003
"151","LITTLE HOPE POND",14.212,2003
"152","LITTLE HOPE POND",13.678,2004
"153","LITTLE HOPE POND",14.228,2004
"154","LITTLE HOPE POND",15.219,2004
"155","LITTLE HOPE POND",14.017,2004
"156","LITTLE HOPE POND",11.144,2004
"157","LITTLE HOPE POND",13.073,2004
"158","LITTLE HOPE POND",12.41,2004
"159","LITTLE HOPE POND",13.072,2004
"160","LITTLE HOPE POND",14.718,2004
"161","LITTLE HOPE POND",11.968,2004
"162","LITTLE HOPE POND",11.531,2004
"163","LITTLE HOPE POND",11.023,2004
"164","LITTLE HOPE POND",14.209,2005
"165","LITTLE HOPE POND",13.482,2005
"166","LITTLE HOPE POND",11.96,2005
"167","LITTLE HOPE POND",10.375,2005
"168","LITTLE HOPE POND",11.789,2005
"169","LITTLE HOPE POND",11.39,2005
"170","LITTLE HOPE POND",14.796,2005
"171","LITTLE HOPE POND",14.139,2005
"172","LITTLE HOPE POND",14.532,2005
"173","LITTLE HOPE POND",15.15,2005
"174","LITTLE HOPE POND",16.632,2005
"175","LITTLE HOPE POND",15.942,2005
"176","LITTLE HOPE POND",14.06,2006
"177","LITTLE HOPE POND",13.399,2006
"178","LITTLE HOPE POND",13.819,2006
"179","LITTLE HOPE POND",10.875,2006
"180","LITTLE HOPE POND",10.885,2006
"181","LITTLE HOPE POND",11.449,2006
"182","LITTLE HOPE POND",12.239,2006
"183","LITTLE HOPE POND",12.573,2006
"184","LITTLE HOPE POND",11.002,2006
"185","LITTLE HOPE POND",10.363,2006
"186","LITTLE HOPE POND",11.462,2006
"187","LITTLE HOPE POND",12.964,2006
"188","LITTLE HOPE POND",9.614,2007
"189","LITTLE HOPE POND",12.084,2007
"190","LITTLE HOPE POND",12.195,2007
"191","LITTLE HOPE POND",11.638,2007
"192","LITTLE HOPE POND",11.868,2007
"193","LITTLE HOPE POND",10.828,2007
"194","LITTLE HOPE POND",8.778,2007
"195","LITTLE HOPE POND",9.928,2007
"196","LITTLE HOPE POND",9.26,2007
"197","LITTLE HOPE POND",10.094,2007
"198","LITTLE HOPE POND",8.812,2007
"199","LITTLE HOPE POND",8.683,2007
"200","LITTLE HOPE POND",9.611,2007
"201","LITTLE HOPE POND",10.309,2007
"202","LITTLE HOPE POND",11.276,2008
"203","LITTLE HOPE POND",11.507,2008
"204","LITTLE HOPE POND",10.769,2008
"205","LITTLE HOPE POND",10.751,2008
"206","LITTLE HOPE POND",10.64,2008
"207","LITTLE HOPE POND",9.531,2008
"208","LITTLE HOPE POND",9.486,2008
"209","LITTLE HOPE POND",10.663,2008
"210","LITTLE HOPE POND",11.13,2008
"211","LITTLE HOPE POND",10.999,2008
"212","LITTLE HOPE POND",11.246,2008
"213","LITTLE HOPE POND",12.48,2008
"214","LITTLE HOPE POND",12.449,2008
"215","LITTLE HOPE POND",10.788,2008
"216","LITTLE HOPE POND",10.764,2008
"217","LITTLE HOPE POND",10.348,2008
"218","LITTLE HOPE POND",10.104,2008
"219","LITTLE HOPE POND",11.859,2008
"220","LITTLE HOPE POND",12.222,2008
"221","LITTLE HOPE POND",12.449,2008
"222","LITTLE HOPE POND",10.467,2009
"223","LITTLE HOPE POND",11.807,2009
"224","LITTLE HOPE POND",11.294,2009
"225","LITTLE HOPE POND",3.391,2009
"226","LITTLE HOPE POND",9.637,2009
"227","LITTLE HOPE POND",9.871,2009
"228","LITTLE HOPE POND",9.9,2009
"229","LITTLE HOPE POND",9.989,2009
"230","LITTLE HOPE POND",10.648,2009
"231","LITTLE HOPE POND",10.886,2009
"232","LITTLE HOPE POND",10.17,2009
"233","LITTLE HOPE POND",9.647,2009
"234","LITTLE HOPE POND",10.1,2009
"235","LITTLE HOPE POND",10.417,2009
"236","LITTLE HOPE POND",10.864,2010
"237","LITTLE HOPE POND",11.594,2010
"238","LITTLE HOPE POND",11.486,2010
"239","LITTLE HOPE POND",11.662,2010
"240","LITTLE HOPE POND",11.59,2010
"241","LITTLE HOPE POND",9.893,2010
"242","LITTLE HOPE POND",9.803,2010
"243","LITTLE HOPE POND",10.443,2010
"244","LITTLE HOPE POND",10,2010
"245","LITTLE HOPE POND",10.93,2010
"246","LITTLE HOPE POND",10.124,2010
"247","LITTLE HOPE POND",9.91,2010
"248","LITTLE HOPE POND",10.363,2010
"249","LITTLE HOPE POND",10.74,2010
"250","LITTLE HOPE POND",11.811,2010
"251","LITTLE HOPE POND",12.213,2010
"252","LITTLE HOPE POND",10.966,2011
"253","LITTLE HOPE POND",11.393,2011
"254","LITTLE HOPE POND",11.784,2011
"255","LITTLE HOPE POND",11.724,2011
"256","LITTLE HOPE POND",11.882,2011
"257","LITTLE HOPE POND",11.686,2011
"258","LITTLE HOPE POND",10.619,2011
"259","LITTLE HOPE POND",12.287,2011
"260","LITTLE HOPE POND",11.47,2011
"261","LITTLE HOPE POND",11.174,2011
"262","LITTLE HOPE POND",12.036,2011
"263","LITTLE HOPE POND",11.687,2011
"264","LITTLE HOPE POND",11.839,2011
"265","LITTLE HOPE POND",10.901,2011
"266","LITTLE HOPE POND",10.305,2011
"267","LITTLE HOPE POND",9.772,2011
"268","LITTLE HOPE POND",10.619,2012
"269","LITTLE HOPE POND",10.522,2012
"270","LITTLE HOPE POND",10.849,2012
"271","LITTLE HOPE POND",8.281,2012
"272","LITTLE HOPE POND",9.21,2012
"273","LITTLE HOPE POND",9.55,2012
