lake.name,month,monthly.averageDOC
ARBUTUS LAKE,Jan,5.300333333
ARBUTUS LAKE,Feb,5.467789495
ARBUTUS LAKE,Mar,5.38669697
ARBUTUS LAKE,Apr,4.695899944
ARBUTUS LAKE,May,4.551196661
ARBUTUS LAKE,Jun,4.737205882
ARBUTUS LAKE,Jul,4.994383946
ARBUTUS LAKE,Aug,5.09071875
ARBUTUS LAKE,Sep,4.820422404
ARBUTUS LAKE,Oct,4.652890611
ARBUTUS LAKE,Nov,4.956642064
ARBUTUS LAKE,Dec,5.243828094
AVALANCHE LAKE,Jan,6.077047619
AVALANCHE LAKE,Feb,6.233646738
AVALANCHE LAKE,Mar,5.499333333
AVALANCHE LAKE,Apr,5.127199649
AVALANCHE LAKE,May,5.40966008
AVALANCHE LAKE,Jun,5.464333333
AVALANCHE LAKE,Jul,6.357399073
AVALANCHE LAKE,Aug,6.43075
AVALANCHE LAKE,Sep,6.526263077
AVALANCHE LAKE,Oct,6.540136364
AVALANCHE LAKE,Nov,6.981317245
AVALANCHE LAKE,Dec,6.380363636
BARNES LAKE,Jan,5.734428571
BARNES LAKE,Feb,6.064
BARNES LAKE,Mar,5.437285714
BARNES LAKE,Apr,6.006333333
BARNES LAKE,May,5.13816
BARNES LAKE,Jun,5.747066667
BARNES LAKE,Jul,7.678802415
BARNES LAKE,Aug,6.789103448
BARNES LAKE,Sep,6.8104
BARNES LAKE,Oct,6.677041667
BARNES LAKE,Nov,6.328653846
BARNES LAKE,Dec,6.129545455
BIG HOPE POND,Jan,8.498085714
BIG HOPE POND,Feb,8.854050815
BIG HOPE POND,Mar,8.558586207
BIG HOPE POND,Apr,7.686361402
BIG HOPE POND,May,8.000237208
BIG HOPE POND,Jun,8.44565625
BIG HOPE POND,Jul,8.877047201
BIG HOPE POND,Aug,8.851392857
BIG HOPE POND,Sep,8.58097348
BIG HOPE POND,Oct,8.114755725
BIG HOPE POND,Nov,8.161907295
BIG HOPE POND,Dec,8.317192916
BIG MOOSE LAKE,Jan,5.180862069
BIG MOOSE LAKE,Feb,5.800665338
BIG MOOSE LAKE,Mar,5.235714286
BIG MOOSE LAKE,Apr,5.049618627
BIG MOOSE LAKE,May,4.599894509
BIG MOOSE LAKE,Jun,4.426153846
BIG MOOSE LAKE,Jul,4.59554958
BIG MOOSE LAKE,Aug,4.231
BIG MOOSE LAKE,Sep,4.306393661
BIG MOOSE LAKE,Oct,4.046959912
BIG MOOSE LAKE,Nov,4.716430001
BIG MOOSE LAKE,Dec,4.829160485
BLACK POND,Jan,4.013333333
BLACK POND,Feb,4.176833333
BLACK POND,Mar,3.970666667
BLACK POND,Apr,3.382333333
BLACK POND,May,3.073571429
BLACK POND,Jun,3.464583333
BLACK POND,Jul,3.952214286
BLACK POND,Aug,4.250928571
BLACK POND,Sep,3.9765
BLACK POND,Oct,3.50975
BLACK POND,Nov,3.404785714
BLACK POND,Dec,3.774692308
BLACK POND STREAM,Jan,4.014444444
BLACK POND STREAM,Feb,4.148498407
BLACK POND STREAM,Mar,3.81308
BLACK POND STREAM,Apr,3.771411627
BLACK POND STREAM,May,3.222816548
BLACK POND STREAM,Jun,3.677375
BLACK POND STREAM,Jul,4.355573964
BLACK POND STREAM,Aug,4.243416667
BLACK POND STREAM,Sep,4.003681721
BLACK POND STREAM,Oct,3.68325
BLACK POND STREAM,Nov,3.435226019
BLACK POND STREAM,Dec,3.641333333
